variant,n_pairs,haaqi_reproduced,haaqi_target,haaqi_delta,ctw_reproduced,ctw_target,ctw_delta,overall_reproduced,overall_target,overall delta
NonCausal,1295,0.7841,0.7841,0.0,0.4223,0.3887,0.0336,0.6866,0.6737,0.0129
Causal,1295,0.7755,0.7755,-0.0,0.4046,0.3744,0.0302,0.6699,0.6549,0.015
